qseqid	sseqid	alntmscore
Q05FR3	Q05FK7	0.5562
Q05FR3	Q05FT1	0.8552
Q05FR3	Q05FM4	0.4505
Q05FR3	Q05FX5	0.5832
Q05FR3	Q05FM8	0.7406
Q05FR3	Q05FT3	0.2650
Q05FR3	Q05FT4	0.7055
Q05FR3	Q05FG8	0.7731
Q05FR3	Q05FN1	0.7167
Q05FR3	Q05FS9	0.4749
Q05FR3	Q05FY4	0.5780
Q05FR3	Q05FM0	0.8611
Q05FR3	Q05FI9	0.5682
Q05FR3	Q05FL7	0.6788
Q05FR3	Q05FK6	0.7713
Q05FR3	Q05FX1	0.7647
Q05FR3	Q05FQ6	0.8691
Q05FR3	Q05FU3	0.5585
Q05FR3	Q05FL5	0.6581
Q05FR3	Q05FG7	0.8654
Q05FR3	Q05FK1	0.6126
Q05FR3	Q05FW2	0.8562
Q05FR3	Q05FL1	0.8833
Q05FR3	Q05FW8	0.8024
Q05FR3	Q05FM2	0.7450
Q05FR3	Q05FW6	0.5952
Q05FR3	Q05FQ0	0.7267
Q05FR3	Q05FJ0	0.7930
Q05FR3	Q05FK9	0.5087
Q05FR3	Q05FU5	0.6554
Q05FR3	Q05FU6	0.4963
Q05FR3	Q05FT6	0.5606
Q05FR3	Q05FV8	0.8947
Q05FR3	Q05FY1	0.8505
Q05FR3	Q05FJ7	0.8201
Q05FR3	Q05FV7	0.8524
Q05FR3	Q05FJ2	0.5454
Q05FR3	Q05FH1	0.9218
Q05FR3	Q05FU0	0.6681
Q05FR3	Q05FH8	0.8547
Q05FR3	Q05FJ6	0.6679
Q05FR3	Q05FV4	0.5242
Q05FR3	Q05FQ5	0.7514
Q05FR3	Q05FH3	0.6757
Q05FR3	Q05FK0	0.7994
Q05FR3	Q05FH2	0.7265
Q05FR3	Q05FV6	0.6756
Q05FR3	Q05FX7	0.9002
Q05FR3	Q05FI2	0.8502
Q05FR3	Q05FU1	0.8793
Q05FR3	Q05FK3	0.6199
Q05FR3	Q05FS8	0.8691
Q05FR3	Q05FR5	0.8141
Q05FR3	Q05FV2	0.8199
Q05FR3	Q05FM3	0.5874
Q05FR3	Q05FR9	0.8508
Q05FR3	Q05FJ1	0.3853
Q05FR3	Q05FK8	0.7545
Q05FR3	Q05FG9	0.8270
Q05FR3	Q05FU7	0.8532
Q05FR3	Q05FI3	0.7858
Q05FR3	Q05FX3	0.7894
Q05FR3	Q05FW5	0.8186
Q05FR3	Q05FI1	0.8632
Q05FR3	Q05FJ9	0.6822
Q05FR3	Q05FY7	0.8681
Q05FR3	Q05FN2	0.8072
Q05FR3	Q05FX2	0.8109
Q05FR3	Q05FP6	0.6359
Q05FR3	Q05FU2	0.6573
Q05FR3	Q05FH7	0.7518
Q05FR3	Q05FX6	0.8845
Q05FR3	Q05FL3	0.8843
Q05FR3	Q05FR6	0.8043
Q05FR3	Q05FT9	0.8232
Q05FR3	Q05FP1	0.8257
Q05FR3	Q05FQ2	0.6329
Q05FR3	Q05FI7	0.7822
Q05FR3	Q05FN7	0.5655
Q05FR3	Q05FH9	0.8939
Q05FR3	Q05FY2	0.8068
Q05FR3	Q05FH0	0.8038
Q05FR3	Q05FI8	0.7655
Q05FR3	Q05FP7	0.6519
Q05FR3	Q05FG6	0.5849
Q05FR3	Q05FV1	0.8402
Q05FR3	Q05FJ4	0.7820
Q05FR3	Q05FT8	0.8014
Q05FR3	Q05FQ7	0.8112
Q05FR3	Q05FT7	0.8175
Q05FR3	Q05FX0	0.8487
Q05FR3	Q05FL4	0.8114
Q05FR3	Q05FP0	0.7185
Q05FR3	Q05FH4	0.7131
Q05FR3	Q05FF8	0.6887
Q05FR3	Q05FM6	0.8121
Q05FR3	Q05FS4	0.8437
Q05FR3	Q05FR4	0.7326
Q05FR3	Q05FF9	0.7431
Q05FR3	Q05FR1	0.8906
Q05FR3	Q05FN6	0.8233
Q05FR3	Q05FY5	0.6831
Q05FR3	Q05FX9	0.8387
Q05FR3	Q05FY3	0.8720
Q05FR3	Q05FL0	0.4974
Q05FR3	Q05FR7	0.8576
Q05FR3	Q05FL2	0.6426
Q05FR3	Q05FJ5	0.6348
Q05FR3	Q05FL8	0.4177
Q05FR3	Q05FM1	0.5895
Q05FR3	Q05FN0	0.6537
Q05FR3	Q05FS2	0.7060
Q05FR3	Q05FG5	0.5585
Q05FR3	Q05FP9	0.7383
Q05FR3	Q05FM7	0.6408
Q05FR3	Q05FK5	0.5357
Q05FR3	Q05FG4	0.7660
Q05FR3	Q05FL9	0.7778
Q05FR3	Q05FN9	0.7911
Q05FR3	Q05FS6	0.7712
Q05FR3	Q05FQ9	0.8293
Q05FR3	Q05FI6	0.6142
Q05FR3	Q05FU8	0.7307
